               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,          metrics/F2
                   0,             0.10349,            0.023897,                   0,           0.0026043,              0.3098,           0.0017514,           0.0006061,            0.012598,            0.079609,            0.013558,                   0,            0.067153,          0.00033178,          0.00033178
                   1,            0.097346,            0.026134,                   0,           0.0059308,             0.70553,            0.033004,             0.01402,            0.028689,            0.069517,            0.015587,                   0,            0.034149,          0.00066073,          0.00066073
                   2,            0.092791,            0.027364,                   0,             0.13165,               0.167,            0.064122,            0.036028,             0.15849,             0.06383,            0.017234,                   0,           0.0011403,          0.00098527,          0.00098527
                   3,            0.088239,             0.02769,                   0,             0.13316,             0.15732,               0.071,             0.03347,             0.15181,            0.063701,            0.016524,                   0,           0.0009802,           0.0009802,           0.0009802
                   4,            0.088123,            0.027558,                   0,             0.18959,             0.12061,             0.07886,            0.046566,             0.13008,            0.061513,            0.015988,                   0,           0.0009802,           0.0009802,           0.0009802
                   5,            0.085038,             0.02702,                   0,             0.14226,             0.18031,            0.089252,            0.049136,             0.17116,            0.059998,            0.016562,                   0,           0.0009736,           0.0009736,           0.0009736
                   6,            0.084754,            0.027494,                   0,             0.16967,             0.25212,             0.13823,            0.083691,             0.22979,            0.057335,             0.01694,                   0,            0.000967,            0.000967,            0.000967
                   7,            0.084611,            0.027345,                   0,            0.078566,              0.2743,            0.041809,            0.023084,             0.18308,            0.056732,            0.019599,                   0,           0.0009604,           0.0009604,           0.0009604
                   8,            0.083682,            0.027193,                   0,             0.18688,             0.31061,             0.18931,             0.12312,             0.27429,            0.054371,             0.01627,                   0,           0.0009538,           0.0009538,           0.0009538
                   9,            0.079609,             0.02668,                   0,             0.25539,             0.25373,             0.19277,             0.12742,             0.25406,            0.054786,            0.015005,                   0,           0.0009472,           0.0009472,           0.0009472
                  10,            0.082463,            0.027081,                   0,             0.18763,             0.27108,             0.16986,             0.10375,             0.24893,            0.055188,             0.01578,                   0,           0.0009406,           0.0009406,           0.0009406
                  11,            0.081412,            0.027638,                   0,             0.24475,             0.30012,             0.21706,             0.12224,             0.28713,             0.05627,            0.015411,                   0,            0.000934,            0.000934,            0.000934
                  12,            0.078515,            0.026912,                   0,             0.20956,             0.34933,             0.22833,             0.11043,             0.30822,            0.056826,            0.015876,                   0,           0.0009274,           0.0009274,           0.0009274
                  13,            0.079823,            0.027323,                   0,             0.26111,             0.29609,             0.22446,              0.1371,             0.28836,            0.053949,             0.01518,                   0,           0.0009208,           0.0009208,           0.0009208
                  14,            0.079459,            0.026801,                   0,             0.23396,             0.33562,             0.24963,             0.15471,             0.30878,            0.052593,             0.01563,                   0,           0.0009142,           0.0009142,           0.0009142
                  15,            0.079302,            0.027183,                   0,             0.24692,             0.33764,             0.25714,             0.12847,             0.31453,            0.056811,            0.014749,                   0,           0.0009076,           0.0009076,           0.0009076
                  16,            0.077726,            0.027238,                   0,             0.28404,             0.37878,             0.31045,             0.20385,             0.35509,            0.051204,            0.014478,                   0,            0.000901,            0.000901,            0.000901
                  17,            0.077224,            0.026267,                   0,             0.27053,             0.36789,             0.29249,             0.17545,             0.34319,            0.052472,            0.014734,                   0,           0.0008944,           0.0008944,           0.0008944
                  18,            0.077325,            0.027209,                   0,             0.25559,             0.38524,             0.30251,             0.18371,             0.34975,             0.05105,            0.015295,                   0,           0.0008878,           0.0008878,           0.0008878
                  19,            0.075792,            0.026608,                   0,             0.18074,             0.31545,             0.17629,             0.10184,             0.27453,            0.054072,            0.016713,                   0,           0.0008812,           0.0008812,           0.0008812
                  20,            0.076613,            0.026484,                   0,             0.24969,             0.37434,             0.29346,             0.20294,             0.34036,            0.046911,            0.015861,                   0,           0.0008746,           0.0008746,           0.0008746
                  21,            0.074757,            0.026832,                   0,             0.30948,             0.39169,             0.32558,             0.20038,             0.37193,            0.052249,            0.013758,                   0,            0.000868,            0.000868,            0.000868
                  22,            0.074132,            0.026698,                   0,              0.2778,             0.39371,             0.32243,             0.17785,             0.36338,            0.053808,            0.014599,                   0,           0.0008614,           0.0008614,           0.0008614
                  23,             0.07434,            0.026795,                   0,             0.29691,             0.35296,             0.29433,              0.1856,             0.34012,            0.052947,            0.013934,                   0,           0.0008548,           0.0008548,           0.0008548
                  24,            0.074857,            0.026936,                   0,             0.29118,             0.39854,             0.32586,             0.21554,             0.37117,            0.049304,            0.015143,                   0,           0.0008482,           0.0008482,           0.0008482
                  25,            0.074599,            0.026661,                   0,              0.3298,             0.38887,             0.34048,             0.23587,             0.37542,            0.047288,            0.013852,                   0,           0.0008416,           0.0008416,           0.0008416
                  26,            0.073583,            0.026088,                   0,             0.30691,             0.43364,             0.37577,             0.23725,             0.40056,            0.048338,             0.01389,                   0,            0.000835,            0.000835,            0.000835
                  27,            0.071702,            0.026427,                   0,             0.35258,             0.41589,              0.3841,             0.26742,             0.40148,            0.047541,            0.013659,                   0,           0.0008284,           0.0008284,           0.0008284
                  28,            0.072451,            0.026663,                   0,              0.3811,             0.42921,             0.39694,             0.27704,             0.41864,            0.046411,             0.01349,                   0,           0.0008218,           0.0008218,           0.0008218
                  29,            0.074024,            0.026151,                   0,             0.33271,             0.44252,             0.39633,             0.25592,             0.41512,            0.047458,             0.01468,                   0,           0.0008152,           0.0008152,           0.0008152
                  30,            0.071585,            0.026942,                   0,             0.34931,             0.48205,             0.42338,             0.29354,               0.448,            0.044892,            0.014778,                   0,           0.0008086,           0.0008086,           0.0008086
                  31,            0.070956,            0.026271,                   0,             0.39132,             0.43595,             0.41063,             0.29354,             0.42623,            0.043856,            0.013736,                   0,            0.000802,            0.000802,            0.000802
                  32,            0.073146,            0.026121,                   0,             0.34747,             0.47358,             0.42282,             0.28455,             0.44153,            0.044363,             0.01449,                   0,           0.0007954,           0.0007954,           0.0007954
                  33,            0.073692,            0.026622,                   0,             0.35015,             0.41993,             0.37789,             0.23146,             0.40383,             0.04955,             0.01371,                   0,           0.0007888,           0.0007888,           0.0007888
                  34,            0.072023,            0.025682,                   0,             0.34811,             0.47196,             0.40137,             0.25061,             0.44061,            0.046886,            0.013921,                   0,           0.0007822,           0.0007822,           0.0007822
                  35,            0.071038,            0.026241,                   0,             0.39724,             0.45825,             0.43501,              0.2921,             0.44459,            0.044963,            0.013105,                   0,           0.0007756,           0.0007756,           0.0007756
                  36,             0.07115,            0.026396,                   0,             0.38344,             0.47741,             0.44194,             0.30681,              0.4551,            0.044194,            0.013236,                   0,            0.000769,            0.000769,            0.000769
                  37,             0.06935,            0.025838,                   0,             0.41836,             0.49738,             0.46268,              0.3124,             0.47927,            0.043322,            0.016193,                   0,           0.0007624,           0.0007624,           0.0007624
                  38,            0.070922,            0.025978,                   0,              0.3924,             0.46736,             0.42335,             0.26392,             0.45016,            0.046134,            0.013224,                   0,           0.0007558,           0.0007558,           0.0007558
                  39,            0.071278,            0.025643,                   0,             0.39748,             0.49818,             0.46904,             0.32063,             0.47416,            0.043428,            0.013149,                   0,           0.0007492,           0.0007492,           0.0007492
                  40,            0.069386,            0.024848,                   0,             0.42389,             0.52158,             0.48568,             0.35277,              0.4986,            0.040947,            0.013107,                   0,           0.0007426,           0.0007426,           0.0007426
                  41,            0.070684,            0.024965,                   0,             0.42775,             0.51311,             0.48225,             0.29149,             0.49342,            0.046013,            0.012636,                   0,            0.000736,            0.000736,            0.000736
                  42,            0.069923,            0.025447,                   0,             0.41135,             0.50787,             0.47815,             0.33219,              0.4851,            0.042834,            0.013599,                   0,           0.0007294,           0.0007294,           0.0007294
                  43,            0.069235,            0.024943,                   0,             0.44744,             0.51876,             0.50046,             0.34757,             0.50273,            0.041969,            0.012469,                   0,           0.0007228,           0.0007228,           0.0007228
                  44,            0.069922,            0.025499,                   0,             0.43988,             0.55022,             0.53328,             0.34656,             0.52394,            0.043088,            0.013819,                   0,           0.0007162,           0.0007162,           0.0007162
                  45,            0.069563,            0.025732,                   0,             0.45415,             0.56031,             0.54022,             0.36771,             0.53528,            0.042324,            0.012464,                   0,           0.0007096,           0.0007096,           0.0007096
                  46,            0.069987,            0.025531,                   0,             0.44644,             0.52441,             0.50142,             0.30636,             0.50671,            0.044446,            0.013519,                   0,            0.000703,            0.000703,            0.000703
                  47,            0.068957,            0.025541,                   0,             0.39998,             0.53247,              0.4836,             0.29707,             0.49939,             0.04587,             0.01404,                   0,           0.0006964,           0.0006964,           0.0006964
                  48,            0.069769,            0.025335,                   0,             0.43784,             0.56434,             0.52184,             0.36177,             0.53351,            0.040461,            0.013344,                   0,           0.0006898,           0.0006898,           0.0006898
                  49,            0.068409,            0.025223,                   0,              0.4505,              0.5482,             0.53017,             0.35025,             0.52542,            0.042772,            0.013463,                   0,           0.0006832,           0.0006832,           0.0006832
                  50,             0.06871,            0.025421,                   0,             0.46834,             0.53368,             0.52292,             0.35455,              0.5192,            0.042074,            0.012079,                   0,           0.0006766,           0.0006766,           0.0006766
                  51,            0.066801,            0.025522,                   0,             0.50881,             0.55324,             0.55313,             0.36898,             0.54375,            0.041032,            0.012062,                   0,             0.00067,             0.00067,             0.00067
                  52,              0.0699,            0.025357,                   0,             0.48465,             0.54901,             0.54008,             0.36148,             0.53481,            0.040766,            0.013296,                   0,           0.0006634,           0.0006634,           0.0006634
                  53,            0.067171,            0.025338,                   0,             0.49467,             0.56676,             0.56689,             0.37988,             0.55071,            0.040587,            0.012362,                   0,           0.0006568,           0.0006568,           0.0006568
                  54,             0.06776,            0.025055,                   0,             0.52018,             0.57402,              0.5753,             0.38285,             0.56238,            0.041783,            0.012418,                   0,           0.0006502,           0.0006502,           0.0006502
                  55,            0.064835,            0.024069,                   0,             0.51207,             0.58814,             0.58813,             0.40822,             0.57117,            0.039863,            0.011676,                   0,           0.0006436,           0.0006436,           0.0006436
                  56,            0.066807,            0.024458,                   0,             0.46947,             0.57079,             0.56125,             0.37157,             0.54718,            0.041509,            0.012095,                   0,            0.000637,            0.000637,            0.000637
                  57,            0.065528,            0.024468,                   0,              0.5608,             0.63493,              0.6359,             0.44065,             0.61858,            0.037813,            0.011234,                   0,           0.0006304,           0.0006304,           0.0006304
                  58,            0.067702,            0.025125,                   0,             0.51661,             0.61475,               0.608,             0.40082,             0.59225,            0.040074,            0.011308,                   0,           0.0006238,           0.0006238,           0.0006238
                  59,            0.066646,            0.024754,                   0,             0.51701,             0.59903,             0.59862,             0.41799,             0.58061,            0.039016,              0.0115,                   0,           0.0006172,           0.0006172,           0.0006172
                  60,            0.065539,            0.024521,                   0,             0.51411,             0.57685,             0.58455,             0.36316,              0.5631,            0.042316,            0.011522,                   0,           0.0006106,           0.0006106,           0.0006106
                  61,            0.065812,            0.024755,                   0,             0.51998,             0.61638,             0.60759,             0.38054,             0.59434,            0.040988,             0.01163,                   0,            0.000604,            0.000604,            0.000604
                  62,            0.065848,            0.024396,                   0,             0.50636,             0.60024,             0.59166,             0.37871,             0.57878,            0.041211,            0.011461,                   0,           0.0005974,           0.0005974,           0.0005974
                  63,            0.065725,            0.024975,                   0,             0.53895,             0.61867,             0.62097,             0.41186,              0.6009,            0.039115,            0.012221,                   0,           0.0005908,           0.0005908,           0.0005908
                  64,            0.065604,             0.02478,                   0,             0.54916,             0.61863,             0.62134,             0.43203,             0.60337,            0.038137,            0.011156,                   0,           0.0005842,           0.0005842,           0.0005842
                  65,            0.065519,            0.024141,                   0,             0.57945,             0.61073,             0.62167,              0.4283,             0.60421,            0.038892,             0.01217,                   0,           0.0005776,           0.0005776,           0.0005776
                  66,            0.064509,            0.024463,                   0,             0.55213,             0.60521,              0.6197,             0.41005,             0.59379,            0.039727,            0.011684,                   0,            0.000571,            0.000571,            0.000571
                  67,            0.064724,             0.02373,                   0,             0.55739,             0.62281,             0.63469,             0.43351,             0.60852,            0.038982,            0.011076,                   0,           0.0005644,           0.0005644,           0.0005644
                  68,            0.065071,            0.024381,                   0,             0.58479,             0.62836,             0.65178,             0.46953,             0.61913,            0.037081,            0.010815,                   0,           0.0005578,           0.0005578,           0.0005578
                  69,            0.064286,             0.02417,                   0,             0.53973,             0.64219,              0.6415,             0.43999,              0.6187,            0.038495,            0.011427,                   0,           0.0005512,           0.0005512,           0.0005512
                  70,            0.066777,            0.024718,                   0,             0.54786,             0.57281,             0.58224,             0.37663,             0.56764,            0.042191,            0.011811,                   0,           0.0005446,           0.0005446,           0.0005446
                  71,            0.065465,            0.025019,                   0,             0.57612,             0.60912,             0.63263,             0.45047,             0.60222,             0.03779,            0.011142,                   0,            0.000538,            0.000538,            0.000538
                  72,            0.063431,            0.024161,                   0,             0.55892,             0.63292,             0.63794,             0.42731,             0.61659,            0.038862,            0.011063,                   0,           0.0005314,           0.0005314,           0.0005314
                  73,            0.063438,             0.02391,                   0,             0.57059,             0.62929,             0.64654,             0.46114,              0.6166,            0.037261,            0.010909,                   0,           0.0005248,           0.0005248,           0.0005248
                  74,            0.063764,             0.02447,                   0,             0.54708,             0.65827,             0.65328,             0.44749,             0.63255,            0.039438,             0.01098,                   0,           0.0005182,           0.0005182,           0.0005182
                  75,            0.063404,             0.02351,                   0,             0.57416,             0.64946,             0.66524,             0.46956,             0.63286,            0.036625,            0.010748,                   0,           0.0005116,           0.0005116,           0.0005116
                  76,             0.06393,            0.023503,                   0,             0.57287,             0.66841,             0.68341,             0.45281,             0.64684,            0.038075,            0.010662,                   0,            0.000505,            0.000505,            0.000505
                  77,            0.062399,             0.02405,                   0,             0.60059,             0.66357,             0.67563,             0.44862,             0.64994,            0.039919,            0.010771,                   0,           0.0004984,           0.0004984,           0.0004984
                  78,            0.063762,            0.024045,                   0,             0.63469,             0.66599,             0.69429,             0.47977,             0.65949,            0.037214,            0.010317,                   0,           0.0004918,           0.0004918,           0.0004918
                  79,            0.064363,             0.02367,                   0,             0.59356,             0.67084,             0.68893,             0.48254,             0.65381,            0.037262,            0.010557,                   0,           0.0004852,           0.0004852,           0.0004852
                  80,            0.063409,            0.023588,                   0,              0.6187,             0.66436,             0.68511,              0.4739,              0.6547,            0.037357,            0.010707,                   0,           0.0004786,           0.0004786,           0.0004786
                  81,             0.06244,            0.023748,                   0,             0.63995,             0.67648,              0.7066,             0.48582,             0.66885,            0.036955,              0.0103,                   0,            0.000472,            0.000472,            0.000472
                  82,            0.062663,              0.0239,                   0,             0.60019,             0.69867,             0.71265,             0.48481,             0.67647,            0.037422,             0.01069,                   0,           0.0004654,           0.0004654,           0.0004654
                  83,             0.06002,            0.023241,                   0,             0.62365,             0.68858,             0.71136,             0.50009,             0.67454,            0.037787,           0.0099583,                   0,           0.0004588,           0.0004588,           0.0004588
                  84,            0.062091,            0.023317,                   0,             0.58051,             0.67164,             0.68628,              0.4786,              0.6512,            0.036941,             0.01089,                   0,           0.0004522,           0.0004522,           0.0004522
                  85,            0.064114,            0.024491,                   0,              0.6081,             0.70835,             0.72229,             0.48846,             0.68574,            0.037286,            0.010127,                   0,           0.0004456,           0.0004456,           0.0004456
                  86,            0.061506,            0.022992,                   0,              0.6552,             0.71077,             0.74118,             0.52807,             0.69892,            0.035444,           0.0099544,                   0,            0.000439,            0.000439,            0.000439
                  87,            0.062987,            0.023656,                   0,             0.60104,             0.69585,             0.71621,             0.51385,             0.67456,            0.035756,            0.010125,                   0,           0.0004324,           0.0004324,           0.0004324
                  88,            0.063106,             0.02321,                   0,             0.57944,             0.71238,             0.72069,             0.48508,             0.68113,            0.037354,            0.010133,                   0,           0.0004258,           0.0004258,           0.0004258
                  89,            0.063407,            0.023591,                   0,             0.61828,             0.68576,             0.70751,             0.49542,             0.67111,            0.036778,            0.010329,                   0,           0.0004192,           0.0004192,           0.0004192
                  90,            0.062584,            0.023931,                   0,             0.62833,             0.68415,             0.70671,             0.43128,              0.6722,            0.040051,            0.010201,                   0,           0.0004126,           0.0004126,           0.0004126
                  91,            0.062344,            0.022801,                   0,             0.66489,             0.71633,             0.74758,             0.53389,             0.70542,            0.034974,            0.010107,                   0,            0.000406,            0.000406,            0.000406
                  92,            0.061358,            0.023131,                   0,             0.62807,             0.71456,             0.73499,             0.50422,             0.69541,            0.036563,           0.0097813,                   0,           0.0003994,           0.0003994,           0.0003994
                  93,            0.060536,            0.022245,                   0,             0.68411,              0.7347,             0.76357,              0.5315,             0.72399,            0.035214,           0.0095981,                   0,           0.0003928,           0.0003928,           0.0003928
                  94,            0.061583,            0.022996,                   0,             0.63993,             0.71924,             0.74581,             0.50935,             0.70184,            0.036251,           0.0097771,                   0,           0.0003862,           0.0003862,           0.0003862
                  95,            0.060886,            0.023008,                   0,             0.65598,             0.73578,             0.76124,             0.53738,              0.7183,             0.03448,           0.0098485,                   0,           0.0003796,           0.0003796,           0.0003796
                  96,            0.062069,             0.02328,                   0,             0.70133,             0.72408,             0.76074,             0.53155,             0.71941,            0.035509,           0.0094743,                   0,            0.000373,            0.000373,            0.000373
                  97,             0.06041,            0.022982,                   0,             0.64138,             0.73371,             0.76179,              0.5232,             0.71318,            0.035984,           0.0097205,                   0,           0.0003664,           0.0003664,           0.0003664
                  98,            0.060928,            0.022867,                   0,             0.66798,             0.73376,              0.7706,             0.54181,             0.71959,            0.035027,           0.0096671,                   0,           0.0003598,           0.0003598,           0.0003598
                  99,            0.060143,            0.022685,                   0,              0.6909,             0.74223,             0.77872,             0.54063,             0.73137,            0.034823,           0.0095651,                   0,           0.0003532,           0.0003532,           0.0003532
                 100,            0.061237,            0.023116,                   0,              0.6565,             0.74304,             0.76965,             0.54038,             0.72395,            0.034876,           0.0093196,                   0,           0.0003466,           0.0003466,           0.0003466
                 101,            0.058965,            0.022545,                   0,             0.68242,             0.75325,               0.782,             0.56266,             0.73793,            0.034175,           0.0093439,                   0,             0.00034,             0.00034,             0.00034
                 102,            0.061064,            0.022987,                   0,             0.66493,             0.73326,             0.76387,             0.52031,              0.7185,            0.036217,           0.0095957,                   0,           0.0003334,           0.0003334,           0.0003334
                 103,            0.061298,             0.02262,                   0,             0.69299,             0.75474,             0.78599,             0.55336,             0.74152,            0.035299,           0.0091838,                   0,           0.0003268,           0.0003268,           0.0003268
                 104,            0.059208,            0.022475,                   0,             0.69484,             0.75474,             0.78857,             0.54675,             0.74195,            0.035504,           0.0092872,                   0,           0.0003202,           0.0003202,           0.0003202
                 105,             0.06045,            0.022581,                   0,             0.69048,             0.76321,             0.78907,             0.57068,             0.74746,            0.034029,           0.0092814,                   0,           0.0003136,           0.0003136,           0.0003136
                 106,            0.058796,            0.022345,                   0,             0.66864,             0.76442,             0.78326,             0.55963,             0.74313,            0.034089,           0.0094338,                   0,            0.000307,            0.000307,            0.000307
                 107,            0.060856,            0.023355,                   0,              0.6976,             0.75635,             0.78929,             0.53953,             0.74382,            0.035486,            0.009171,                   0,           0.0003004,           0.0003004,           0.0003004
                 108,            0.060098,            0.022422,                   0,             0.66792,             0.74627,             0.77348,             0.53005,             0.72916,            0.035805,           0.0093086,                   0,           0.0002938,           0.0002938,           0.0002938
                 109,            0.060805,            0.022286,                   0,             0.68115,             0.77904,             0.80197,             0.57971,             0.75727,            0.033908,           0.0089616,                   0,           0.0002872,           0.0002872,           0.0002872
                 110,            0.060101,            0.022648,                   0,             0.68459,              0.7741,             0.79756,             0.56084,             0.75438,            0.034332,           0.0090571,                   0,           0.0002806,           0.0002806,           0.0002806
                 111,            0.059534,            0.022679,                   0,             0.70264,             0.77018,             0.80295,             0.56955,             0.75565,             0.03436,           0.0088615,                   0,            0.000274,            0.000274,            0.000274
                 112,            0.060356,            0.022803,                   0,             0.73478,             0.77088,             0.80985,             0.56764,             0.76337,            0.034258,           0.0090938,                   0,           0.0002674,           0.0002674,           0.0002674
                 113,            0.058288,            0.022392,                   0,              0.7254,             0.77652,             0.81409,             0.58108,             0.76573,            0.033607,           0.0088931,                   0,           0.0002608,           0.0002608,           0.0002608
                 114,            0.059522,             0.02188,                   0,             0.73789,             0.78132,             0.81975,             0.58827,             0.77223,            0.033126,           0.0088172,                   0,           0.0002542,           0.0002542,           0.0002542
                 115,            0.058541,            0.022108,                   0,             0.74002,             0.78298,             0.81868,             0.57775,             0.77399,            0.034038,           0.0089851,                   0,           0.0002476,           0.0002476,           0.0002476
                 116,            0.058565,            0.021858,                   0,             0.73588,             0.79145,             0.82607,             0.58549,             0.77967,            0.033802,            0.008823,                   0,            0.000241,            0.000241,            0.000241
                 117,            0.058144,            0.021861,                   0,                0.73,             0.78983,             0.82105,             0.58635,              0.7771,             0.03355,           0.0087924,                   0,           0.0002344,           0.0002344,           0.0002344
                 118,            0.058468,            0.021763,                   0,              0.7165,             0.79306,             0.82009,             0.58499,             0.77647,            0.033834,           0.0086477,                   0,           0.0002278,           0.0002278,           0.0002278
                 119,            0.058666,            0.022055,                   0,             0.76193,             0.78363,             0.82783,             0.59858,             0.77919,            0.033171,           0.0085914,                   0,           0.0002212,           0.0002212,           0.0002212
                 120,            0.058159,             0.02173,                   0,             0.76228,             0.79104,             0.83214,             0.59728,             0.78512,            0.033216,            0.008584,                   0,           0.0002146,           0.0002146,           0.0002146
                 121,            0.058524,              0.0222,                   0,             0.72779,             0.80436,             0.83236,             0.59909,             0.78778,            0.033317,           0.0086455,                   0,            0.000208,            0.000208,            0.000208
                 122,            0.059438,            0.021898,                   0,             0.77028,             0.80234,             0.83912,             0.61453,             0.79572,            0.032845,           0.0085032,                   0,           0.0002014,           0.0002014,           0.0002014
                 123,            0.057895,            0.021301,                   0,              0.7273,              0.7971,              0.8281,             0.58821,             0.78209,            0.033951,           0.0087131,                   0,           0.0001948,           0.0001948,           0.0001948
                 124,            0.057287,            0.021467,                   0,             0.74469,             0.80678,              0.8383,             0.60955,             0.79354,            0.033247,           0.0085287,                   0,           0.0001882,           0.0001882,           0.0001882
                 125,            0.057836,            0.021743,                   0,              0.7853,             0.80315,             0.84688,             0.61546,             0.79951,             0.03289,           0.0084732,                   0,           0.0001816,           0.0001816,           0.0001816
                 126,            0.056446,            0.021733,                   0,             0.74139,             0.81323,             0.84086,             0.58663,             0.79777,            0.034296,           0.0085193,                   0,            0.000175,            0.000175,            0.000175
                 127,            0.056679,            0.021616,                   0,              0.7339,             0.80993,             0.84239,             0.60115,             0.79349,            0.033842,           0.0085836,                   0,           0.0001684,           0.0001684,           0.0001684
                 128,            0.056638,            0.021138,                   0,             0.76804,             0.80395,             0.84552,             0.60189,              0.7965,            0.033605,           0.0084092,                   0,           0.0001618,           0.0001618,           0.0001618
                 129,            0.058203,            0.021775,                   0,             0.75573,             0.81848,             0.85033,             0.60594,             0.80511,            0.033405,           0.0084476,                   0,           0.0001552,           0.0001552,           0.0001552
                 130,            0.057592,            0.022239,                   0,             0.75144,             0.81565,             0.85037,             0.60977,             0.80195,            0.033158,           0.0084476,                   0,           0.0001486,           0.0001486,           0.0001486
                 131,            0.057621,            0.021658,                   0,             0.73535,             0.82372,             0.85527,             0.61618,             0.80439,            0.033046,           0.0083223,                   0,            0.000142,            0.000142,            0.000142
                 132,            0.057639,            0.021846,                   0,             0.72872,             0.82533,             0.85469,             0.61411,             0.80401,            0.033106,            0.008334,                   0,           0.0001354,           0.0001354,           0.0001354
                 133,            0.056143,            0.021072,                   0,             0.75688,             0.82412,             0.85643,             0.62394,             0.80974,            0.032618,           0.0082639,                   0,           0.0001288,           0.0001288,           0.0001288
                 134,            0.056513,            0.021476,                   0,             0.77009,             0.82533,               0.859,              0.6245,             0.81366,            0.032759,           0.0082596,                   0,           0.0001222,           0.0001222,           0.0001222
                 135,            0.056686,             0.02175,                   0,             0.76377,             0.82816,             0.86058,             0.62062,             0.81442,            0.032964,           0.0082621,                   0,           0.0001156,           0.0001156,           0.0001156
                 136,            0.057663,            0.021952,                   0,             0.77164,             0.82372,             0.86148,             0.62272,             0.81275,            0.032989,           0.0083786,                   0,            0.000109,            0.000109,            0.000109
                 137,            0.057569,            0.021671,                   0,             0.75164,              0.8338,             0.86402,             0.62405,             0.81596,            0.032847,           0.0082843,                   0,           0.0001024,           0.0001024,           0.0001024
                 138,            0.056492,             0.02171,                   0,             0.77955,             0.82816,             0.86576,             0.63489,             0.81796,            0.032381,           0.0081897,                   0,            9.58e-05,            9.58e-05,            9.58e-05
                 139,            0.055917,            0.021595,                   0,             0.77698,             0.82735,             0.86475,             0.62731,             0.81676,            0.032587,           0.0081842,                   0,            8.92e-05,            8.92e-05,            8.92e-05
                 140,            0.056585,            0.021181,                   0,             0.76731,             0.83017,             0.86358,             0.62382,             0.81679,            0.032816,           0.0081867,                   0,            8.26e-05,            8.26e-05,            8.26e-05
                 141,            0.055709,            0.021034,                   0,              0.7651,             0.83542,             0.86745,             0.63359,             0.82034,            0.032218,           0.0081755,                   0,             7.6e-05,             7.6e-05,             7.6e-05
                 142,            0.055554,            0.021357,                   0,             0.79809,             0.83138,             0.87142,             0.64038,              0.8245,            0.031823,            0.008109,                   0,            6.94e-05,            6.94e-05,            6.94e-05
                 143,            0.055019,             0.02169,                   0,             0.77435,             0.84164,             0.87221,             0.63828,             0.82726,               0.032,           0.0081418,                   0,            6.28e-05,            6.28e-05,            6.28e-05
                 144,            0.055886,            0.021475,                   0,             0.76359,             0.83905,             0.86962,             0.63506,             0.82279,            0.032157,           0.0081488,                   0,            5.62e-05,            5.62e-05,            5.62e-05
                 145,            0.056187,            0.021863,                   0,             0.76804,             0.83905,             0.86985,             0.63722,             0.82382,            0.032047,           0.0081098,                   0,            4.96e-05,            4.96e-05,            4.96e-05
                 146,            0.055812,             0.02114,                   0,             0.77085,             0.84132,             0.87114,             0.63497,             0.82621,            0.032206,           0.0081141,                   0,             4.3e-05,             4.3e-05,             4.3e-05
                 147,             0.05593,            0.021103,                   0,             0.77222,             0.84106,             0.87179,             0.63808,             0.82633,            0.032158,           0.0081186,                   0,            3.64e-05,            3.64e-05,            3.64e-05
                 148,            0.054166,             0.02043,                   0,             0.77864,             0.84003,             0.87111,             0.63415,             0.82699,            0.032309,           0.0081425,                   0,            2.98e-05,            2.98e-05,            2.98e-05
                 149,            0.054039,            0.020971,                   0,             0.78404,             0.84147,             0.87337,             0.63434,             0.82932,            0.032307,           0.0081121,                   0,            2.32e-05,            2.32e-05,            2.32e-05
